C2,R21,RCC2,MFR,Tensile Modulus,Flexural Modulus,Impact Strength
5.5,14.2,38.9,16,1408,1269,7.7
7.2,15.6,46.1,16,1203,1073,9.2
8.3,19.5,42.6,16,1350,1190,12.2
7.2,14.7,49,16,1432,1315,7.8
6.8,14.8,45.9,16,1265,1132,8.5
9,18,50,16,1547,1403,10.6
5.4,14.5,37.3,16,1479,1368,8.1
6.2,14.5,42.6,16,1512,1415,8
4.8,14.1,34.2,16,1448,1337,7.8
5.2,14.3,36.3,16,1569,1454,8.6
4.4,14.9,29.6,16,1403,1358,7.1
8,16.1,49.6,16,1291,1229,8.1
7.8,15.7,49.6,16,1444,1334,9.4
6.5,14,46.4,16,1375,1246,7.4
8.6,16.3,52.8,16,1262,1180,8.2
7,17,41.2,16,1496,1229,9.5
5.7,16.1,35.4,16,1480,1268,8.3
6.5,15.3,42.5,16,1652,1455,8.9
5.4,14.1,38.3,16,1543,1526,7.8
5.8,14.4,40.3,16,1529,1526,8.6
6.2,14.3,43.3,16,1520,1496,8.7
5,16.5,30.3,16,1548,1347,9.5
6.2,14.9,41.6,16,1638,1436,8.3
4.9,13.9,35.3,16,1509,1371,7.7
4.3,14.2,30.3,16,1381,1217,6.9
4.7,14.5,32.3,16,1480,1470,8
6.5,14.2,45.8,16,1475,1430,9.3
7,14.5,48.1,16,1495,1470,8.7
7,14.7,47.6,16,1514,1510,8.7
7.2,15,48.2,16,1301,1295,9.6
7.9,16.4,48.2,16,1553,1550,10.6
5.3,13.6,39.1,16,1519,1450,6.9
5.6,14.8,37.9,16,1523,1450,9
6.1,14.9,41,16,1475,1400,8.8
5.4,15,36,16,1252,1200,7.6
10,20,50,16,1526,1500,9.8
3.3,13.5,24.4,16,1542,1490,5.7
3.4,14,24.3,16,1474,1440,5.2
3.2,14.7,21.7,16,1662,1560,5.6
3.3,13.8,23.9,16,1626,1490,6.1
4.5,14.7,30.6,16,1450,1420,8.2
7.1,14.9,47.8,16,1503,1470,8.3
6.1,14.4,42.4,16,1503,1420,9
